gene_id,cluster,Dmel,Dmel_gene,Dmel_function,nr,uni_sprot,Description,Preferred_name,PFAMs
Dnig.6LG0015540.1,3,FBpp0293000,Hsc70Cb,Hsc70Cb,XP_023714084.1,sp|O95757|HS74L_HUMAN,Heat shock 70 kDa protein,HSPA4L,"HSP70,MreB_Mbl"
Dnig.6LG0015550.1,15,,,,XP_018397169.1,sp|Q96DM1|PGBD4_HUMAN,Transposase IS4,-,"DDE_Tnp_1_7,Tnp_zf-ribbon_2"
Dnig.6LG0015570.1,6,FBpp0078042,SAK,Sak kinase,XP_021920233.1,sp|B0WAU8|PLK4_CULQU,"Serine threonine-protein kinase that plays a central role in centriole duplication. Able to trigger procentriole formation on the surface of the mother centriole cylinder, using mother centriole as a platform, leading to the recruitment of centriole biogenesis proteins such as Sas-6. When overexpressed, it is able to induce centrosome amplification through the simultaneous generation of multiple procentrioles adjoining each parental centriole during S phase. Centrosome amplification following overexpression can initiate tumorigenesis, highlighting the importance of centrosome regulation in cancers",PLK4,"POLO_box,Pkinase"
Dnig.6LG0015590.1,16,,,,,,,,
Dnig.6LG0015600.1,20,FBpp0073717,l(1)G0007,lethal (1) G0007,GFG37640.1,sp|Q17R09|PRP16_BOVIN,ATP-dependent helicase activity,DHX38,"DEAD,HA2,Helicase_C,OB_NTP_bind"
Dnig.6LG0015660.1,10,,,,,,,,
Dnig.6LG0015680.1,10,FBpp0298338,Cc2d2a,Coiled-coil and C2 domain containing 2A,PNF24949.1,sp|Q9P2K1|C2D2A_HUMAN,protein localization to ciliary transition zone,CC2D2A,"C2,CC2D2AN-C2"
Dnig.6LG0015690.1,18,FBpp0071578,CG10082,No description,GFG37630.1,sp|Q92551|IP6K1_HUMAN,Inositol polyphosphate kinase,IP6K1,IPK
Dnig.6LG0015700.1,18,FBpp0075980,Aps,Aps,XP_021920043.1,sp|O95989|NUDT3_HUMAN,Hydrolase activity,NUDT3,NUDIX
Dnig.6LG0015710.1,11,,,,XP_031338169.1,sp|Q09575|YRD6_CAEEL,Integrase core domain,-,"RVT_1,Retrotrans_gag,rve,zf-H2C2"
Dnig.6LG0015750.1,20,,,,,,,,
Dnig.6LG0015770.1,8,FBpp0081737,CG6325,No description,XP_023708485.2,sp|A2BDA5|DCA15_XENLA,"DDB1-and CUL4-substrate receptor 15, WD repeat",DCAF15,DCAF15_WD40
Dnig.6LG0015840.1,1,FBpp0072477,emc,extra macrochaetae,XP_023716094.1,sp|P18491|EMC_DROME,"Protein dimerization activity. It is involved in the biological process described with negative regulation of transcription, DNA-templated",ID2,HLH
Dnig.6LG0015910.1,11,FBpp0076875,shep,alan shepard,PNF18380.1,sp|B4MM23|SHEP_DROWI,Has a role in the perception of gravity,RBMS1,RRM_1
Dnig.6LG0015920.1,11,,,,GBM17429.1,,,,
Dnig.6LG0015930.1,20,FBpp0079780,CG6724,No description,CAD7199368.1,sp|B0W517|WDR12_CULQU,Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit,WDR12,"NLE,WD40"
Dnig.6LG0015940.1,12,,,,XP_022239273.1,,hAT family C-terminal dimerisation region,-,Dimer_Tnp_hAT
Dnig.6LG0015950.1,9,FBpp0072695,metl,methyltransferase-like,CAD7571594.1,sp|A8KBL7|MET2A_DANRE,Methyltransferase like 2A,METTL2A,"Methyltransf_12,Methyltransf_23"
Dnig.6LG0015960.1,4,,,,PSN54939.1,,,,
Dnig.6LG0015970.1,14,,,,XP_034941944.1,,,,
Dnig.6LG0015980.1,18,,,,,,,,
Dnig.6LG0016000.1,6,,,,EFA04806.1,,gag-polypeptide of LTR copia-type,-,"DUF4219,Retrotran_gag_2"
Dnig.6LG0016010.1,20,FBpp0113107,l(2)05287,lethal (2) 05287,XP_023707601.1,sp|Q6DFC6|WDR75_XENLA,WD repeat-containing protein,WDR75,WD40
Dnig.6LG0016040.1,6,,,,XP_023025218.1,sp|Q95SX7|RTBS_DROME,Reverse transcriptase (RNA-dependent DNA polymerase),-,"Exo_endo_phos_2,RVT_1"
Dnig.6LG0016050.1,9,FBpp0079780,CG6724,No description,XP_023721036.1,sp|B0W517|WDR12_CULQU,Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit,WDR12,"NLE,WD40"
Dnig.7LG0000010.1,5,FBpp0087978,PIG-G,Phosphatidylinositol glycan anchor biosynthesis class G,XP_023714193.1,sp|Q5H8A4|PIGG_HUMAN,catalytic activity. It is involved in the biological process described with metabolic process,PIGG,Phosphodiest
Dnig.7LG0000080.1,5,,,,XP_021935232.1,sp|Q9Y2M0|FAN1_HUMAN,,,
Dnig.7LG0000090.1,6,,,,,,,,
Dnig.7LG0000110.1,7,FBpp0308013,Abi,Abelson interacting protein,XP_021940860.1,sp|Q9NYB9|ABI2_HUMAN,Abl-interactor HHR,ABI2,"Abi_HHR,SH3_1,SH3_9"
Dnig.7LG0000120.1,15,FBpp0085955,lolal,lola like,XP_023714721.1,sp|Q7KRI2|LOLAL_DROME,BTB/POZ domain,-,"BEN,BTB"
Dnig.7LG0000130.1,14,FBpp0080022,Pect,Phosphoethanolamine cytidylyltransferase,RZF48207.1,sp|Q99447|PCY2_HUMAN,activity. It is involved in the biological process described with biosynthetic process,Pect,CTP_transf_like
Dnig.7LG0000150.1,9,FBpp0080920,IKKepsilon,I-kappaB kinase epsilon,CAD7403944.1,sp|Q9WUN2|TBK1_MOUSE,ATP binding. It is involved in the biological process described with protein phosphorylation,IKBKE,Pkinase
Dnig.7LG0000160.1,2,FBpp0082148,CG5608,No description,XP_021933262.1,sp|Q66L58|VAC14_DANRE,It is involved in the biological process described with regulation of lipid kinase activity,VAC14,"Vac14_Fab1_bd,Vac14_Fig4_bd"
Dnig.7LG0000170.1,13,FBpp0309707,CG17321,No description,CAD7397527.1,,-,-,-
Dnig.7LG0000180.1,17,FBpp0308461,Rme-8,Receptor mediated endocytosis 8,PNF36068.1,sp|O75165|DJC13_HUMAN,dnaJ homolog subfamily C member,DNAJC13,"DUF4339,DnaJ"
Dnig.7LG0000190.1,2,FBpp0087055,vis,vismay,XP_033328055.1,sp|P70284|TGIF1_MOUSE,Homeobox KN domain,TGIF1,Homeobox_KN
Dnig.7LG0000210.1,16,FBpp0290322,CG42541,No description,KOX80853.1,sp|O35929|REM1_MOUSE,Ras family,-,Ras
Dnig.7LG0000200.1,12,FBpp0297500,ND-15,NADH dehydrogenase (ubiquinone) 15 kDa subunit,XP_023705148.1,,"NADH:ubiquinone oxidoreductase, NDUFS5-15kDa",Ndufs5,Ndufs5
Dnig.7LG0000240.1,7,FBpp0082009,Lk6,Lk6 kinase,XP_021918990.1,sp|O08605|MKNK1_MOUSE,It is involved in the biological process described with protein phosphorylation,MKNK1,Pkinase
Dnig.7LG0000250.1,1,FBpp0292315,stan,starry night,XP_033606590.1,sp|Q9V5N8|STAN_DROME,It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules,CELSR2,"7tm_2,Cadherin,EGF,GAIN,GPS,HRM,Laminin_EGF,Laminin_G_2,hEGF"
Dnig.7LG0000260.1,11,FBpp0077935,CG11399,No description,XP_023721733.1,sp|Q9H4Z3|CAPAM_HUMAN,Phosphorylated CTD-interacting factor,PCIF1,"PCIF1_WW,WW"
Dnig.7LG0000270.1,17,FBpp0111604,mute,muscle wasted,XP_033609072.1,sp|Q3T8J9|GON4L_HUMAN,,,
Dnig.7LG0000290.1,7,FBpp0305793,Diap1,Death-associated inhibitor of apoptosis 1,XP_023710490.2,sp|P41436|IAP_GVCPM,apoptosis,IAP1,"BIR,zf-C3HC4_3"
Dnig.7LG0000320.1,13,FBpp0084729,CG11837,No description,XP_023710881.1,sp|Q9VAQ5|DIM1_DROME,Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family,DIMT1,RrnaAD
Dnig.7LG0000330.1,13,FBpp0073521,Agpat1,1-Acylglycerol-3-phosphate O-acyltransferase 1,XP_023708967.2,sp|Q99943|PLCA_HUMAN,Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family,-,Acyltransferase
Dnig.7LG0000340.1,18,FBpp0308739,CG11710,No description,XP_023704813.1,sp|Q15650|TRIP4_HUMAN,"binding. It is involved in the biological process described with regulation of transcription, DNA-templated",TRIP4,"ASCH,zf-C2HC5"
Dnig.7LG0000350.1,12,FBpp0290229,CG34148,No description,RZF48357.1,sp|Q0VG49|CO061_MOUSE,Domain of unknown function (DUF4528),C15orf61,DUF4528
Dnig.7LG0000360.1,9,FBpp0298003,snama,something that sticks like glue,PNF40741.1,sp|P97868|RBBP6_MOUSE,nucleic acid binding,RBBP6,"DWNN,U-box,zf-CCHC,zf-CCHC_2"
Dnig.7LG0000370.1,7,,,,,,,,
Dnig.7LG0000390.1,11,FBpp0070277,sta,stubarista,QVD39378.1,sp|Q0PXX8|RSSA_DIACI,Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits,RPSA,"40S_SA_C,Ribosomal_S2"
Dnig.7LG0000410.1,2,FBpp0079232,CG7810,No description,XP_023702916.1,sp|Q9DBT3|CCD97_MOUSE,Coiled-coil domain containing protein (DUF2052),CCDC97,DUF2052
Dnig.7LG0000400.1,3,FBpp0309945,CG3735,No description,CAD7392273.1,sp|Q642T7|DIEXF_XENTR,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25",DIEXF,UTP25
Dnig.7LG0000420.1,8,FBpp0110174,tefu,telomere fusion,XP_021922404.1,sp|Q13315|ATM_HUMAN,"Phosphotransferase activity, alcohol group as acceptor",ATM,"FAT,FATC,PI3_PI4_kinase,TAN"
Dnig.7LG0000430.1,15,FBpp0302998,cyst,cysts,XP_021936116.1,sp|E9Q394|AKP13_MOUSE,Rho guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of Rho protein signal transduction,-,RhoGEF
Dnig.7LG0000450.1,19,FBpp0305159,mim,missing-in-metastasis,XP_021933252.1,sp|O43312|MTSS1_HUMAN,It is involved in the biological process described with,-,IMD
Dnig.7LG0000470.1,14,FBpp0291628,Tsen34,tRNA splicing endonuclease subunit 34,KDR08208.1,sp|Q9BSV6|SEN34_HUMAN,"Constitutes one of the two catalytic subunit of the tRNA-splicing endonuclease complex, a complex responsible for identification and cleavage of the splice sites in pre-tRNA. It cleaves pre-tRNA at the 5'- and 3'-splice sites to release the intron. The products are an intron and two tRNA half-molecules bearing 2',3'-cyclic phosphate and 5'-OH termini. There are no conserved sequences at the splice sites, but the intron is invariably located at the same site in the gene, placing the splice sites an invariant distance from the constant structural features of the tRNA body",TSEN34,tRNA_int_endo
Dnig.7LG0000480.1,7,FBpp0072597,stet,stem cell tumor,KYB25801.1,sp|P20350|RHOM_DROME,serine-type endopeptidase activity. It is involved in the biological process described with proteolysis,RHBDL3,"EF-hand_7,Rhomboid"
Dnig.7LG0000490.1,11,FBpp0074238,Ucp4A,Ucp4A,PSN33860.1,sp|P56500|UCP2_RAT,Belongs to the mitochondrial carrier (TC 2.A.29) family,ucp1,Mito_carr
Dnig.7LG0000510.1,15,FBpp0305273,Tnpo,Transportin,XP_021941357.1,sp|Q92973|TNPO1_HUMAN,Ran GTPase binding. It is involved in the biological process described with intracellular protein transport,TNPO1,"HEAT,HEAT_EZ,IBN_N,Vac14_Fab1_bd"
Dnig.7LG0000520.1,8,,,,RZF41490.1,,,,
Dnig.7LG0000540.1,10,,,,PSN34156.1,sp|B5DEL3|TTC17_RAT,Tetratricopeptide repeats,-,"TPR_1,TPR_19,TPR_2,TPR_7,TPR_8"
Dnig.7LG0000550.1,13,FBpp0075139,Tcs3,Tcs3,CAB3378718.1,sp|Q5RHZ6|OSGEP_DANRE,"Component of the EKC KEOPS complex that is required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. The complex is probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Likely plays a direct catalytic role in this reaction, but requires other protein(s) of the complex to fulfill this activity",OSGEP,Peptidase_M22
Dnig.7LG0000560.1,12,FBpp0076621,BBS1,Bardet-Biedl syndrome 1,XP_023706409.1,sp|Q8NFJ9|BBS1_HUMAN,It is involved in the biological process described with nonmotile primary cilium assembly,BBS1,BBS1
Dnig.7LG0000570.1,4,FBpp0071279,Ost48,Oligosaccharyltransferase 48kD subunit,GFG29592.1,sp|O54734|OST48_MOUSE,Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains,DDOST,DDOST_48kD
Dnig.7LG0000580.1,10,FBpp0078408,CG2519,No description,PNF16893.1,,-,-,-
Dnig.7LG0000600.1,15,,,,,,,,
Dnig.7LG0000610.1,4,FBpp0086079,qkr54B,quaking related 54B,XP_021938269.1,sp|Q0VFL3|KHDR2_XENTR,K homology RNA-binding domain,KHDRBS3,"KH_1,Qua1,Sam68-YY"
Dnig.7LG0000620.1,7,FBpp0073293,CDK2AP1,CDK2-associated protein 1,PSN46312.1,sp|O35207|CDKA1_MOUSE,Cyclin-dependent kinase 2-associated protein,CDK2AP1,CDK2AP
Dnig.7LG0000630.1,8,FBpp0087272,dare,defective in the avoidance of repellents,CAD7431090.1,sp|P82861|ADRO_SALFO,Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process,FDXR,Pyr_redox_2
Dnig.7LG0000640.1,8,FBpp0086841,Nrk,Neurospecific receptor kinase,GFG36331.1,sp|Q8IWU2|LMTK2_HUMAN,Protein tyrosine kinase,AATK,Pkinase_Tyr
Dnig.7LG0000650.1,16,FBpp0290661,loj,logjam,XP_021917060.1,sp|Q8WW62|TMED6_HUMAN,It is involved in the biological process described with,TMED6,EMP24_GP25L
Dnig.7LG0000670.1,3,,,,XP_021916962.1,sp|Q6IR42|ZCPW1_MOUSE,CW-type Zinc Finger,ZCWPW1,"PWWP,zf-CW"
Dnig.7LG0000680.1,14,FBpp0078369,CG1239,No description,KDR21008.1,sp|A3KQ55|MEPCE_DANRE,methyltransferase activity,MEPCE,"Bin3,Methyltransf_25,Methyltransf_31"
Dnig.7LG0000710.1,19,FBpp0289234,Nsun5,Nop2/Sun-like domain containing protein 5,XP_044744520.1,sp|Q9VDZ4|NSUN5_DROME,Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family,NSUN5,Methyltr_RsmB-F
Dnig.7LG0000720.1,20,FBpp0289234,Nsun5,Nop2/Sun-like domain containing protein 5,XP_044733045.1,sp|Q9VDZ4|NSUN5_DROME,Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family,NSUN5,Methyltr_RsmB-F
Dnig.7LG0000740.1,8,FBpp0088794,CG33298,No description,XP_021916669.1,sp|Q9P241|AT10D_HUMAN,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily,ATP10B,"Cation_ATPase,E1-E2_ATPase,Hydrolase,PhoLip_ATPase_C,PhoLip_ATPase_N"
Dnig.7LG0000790.1,3,FBpp0072146,shu,shutdown,XP_023710706.1,sp|F6PHZ6|FKBP6_HORSE,It is involved in the biological process described with protein folding,FKBP6,"FKBP_C,TPR_2"
Dnig.7LG0000820.1,9,FBpp0070658,Torsin,Torsin,CAD7439143.1,sp|Q5E9N5|CLPB_BOVIN,AAA domain (Cdc48 subfamily),CLPB,"AAA_2,Ank,Ank_2,ClpB_D2-small"
Dnig.7LG0000840.1,16,FBpp0088773,GatC,"Glutamyl-tRNA amidotransferase, subunit C",XP_021936665.1,sp|C3XVM1|GATC_BRAFL,Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln),GATC,Glu-tRNAGln
Dnig.7LG0000850.1,6,FBpp0099758,DNApol-gamma35,DNA polymerase gamma 35kD subunit,XP_023704925.1,sp|Q9VJV8|DPOG2_DROME,,,
Dnig.7LG0000860.1,6,FBpp0087939,Odc1,Ornithine decarboxylase 1,GFG34292.1,sp|P00860|DCOR_MOUSE,Belongs to the Orn Lys Arg decarboxylase class-II family,-,"Orn_Arg_deC_N,Orn_DAP_Arg_deC"
Dnig.7LG0000870.1,9,FBpp0289672,Mkk4,MAP kinase kinase 4,PNF38928.1,sp|P47809|MP2K4_MOUSE,Kinase-like,Mkk4,Pkinase
Dnig.7LG0000890.1,13,FBpp0082112,Not10,CCR4-NOT transcription complex subunit 10,PSN45792.1,sp|Q8BH15|CNO10_MOUSE,CCR4-NOT transcription complex subunit,CNOT10,TPR_8
Dnig.7LG0000930.1,8,,,,PSN37527.1,,-,-,-
Dnig.7LG0000980.1,6,,,,,,,,
Dnig.7LG0000970.1,20,FBpp0085040,CG2246,No description,CAD7428967.1,sp|Q5ZL26|KPRB_CHICK,ribose phosphate diphosphokinase activity. It is involved in the biological process described with nucleotide biosynthetic process,PRPSAP1,"Pribosyl_synth,Pribosyltran_N"
Dnig.7LG0001060.1,8,FBpp0086382,Shark,SH2 ankyrin repeat kinase,XP_018322316.1,sp|O88900|GRB14_RAT,SH3/SH2 adaptor activity,GRB14,"BPS,PH,RA,SH2"
Dnig.7LG0001100.1,15,,,,,,,,
Dnig.7LG0001150.1,19,FBpp0085727,Fak,Focal adhesion kinase,KDR15787.1,sp|Q91738|FAK1_XENLA,It is involved in the biological process described with protein phosphorylation,PTK2,"FERM_M,Focal_AT,Pkinase_Tyr"
Dnig.7LG0001180.1,8,FBpp0077310,CG2991,No description,KDR11659.1,,Zinc ion binding,-,"DUF1084,EGF_2,RINGv"
Dnig.7LG0001200.1,10,FBpp0099795,HemK2,HemK methyltransferase 2,XP_023712378.1,sp|Q6SKR2|N6MT1_MOUSE,protein methyltransferase activity,N6AMT1,MTS
Dnig.7LG0001210.1,10,FBpp0077417,Snapin,SNAP associated protein,XP_021918314.1,sp|Q9VQF9|SNAPN_DROME,Component of the biogenesis of lysosome-related organelles complex-1 (BLOC-1) involved in pigment granule biogenesis,-,Snapin_Pallidin
Dnig.7LG0001220.1,5,FBpp0304368,Strip,Striatin interacting protein,CAD7578944.1,sp|Q8C079|STRP1_MOUSE,Domain of unknown function (DUF3402),STRIP2,"DUF3402,N1221"
Dnig.7LG0001240.1,20,FBpp0079182,SmE,Small ribonucleoprotein particle protein SmE,KAG8236716.1,sp|Q9VLV5|RUXE_DROME,snRNP Sm proteins,SNRPE,LSM
Dnig.7LG0001230.1,12,FBpp0310065,CG7102,No description,GFG30677.1,sp|C9JJ37|BTBDJ_HUMAN,TLD,-,"BACK,BTB,TLD"
Dnig.7LG0001250.1,15,,,,,,,,
Dnig.7LG0001280.1,11,FBpp0303575,sli,slit,,sp|P24014|SLIT_DROME,,,
Dnig.7LG0001310.1,16,,,,XP_023703062.1,,-,-,-
Dnig.7LG0001320.1,20,FBpp0304017,Adat1,"Adenosine deaminase, tRNA-specific 1",XP_021932851.1,sp|Q9BUB4|ADAT1_HUMAN,tRNA-specific adenosine deaminase activity,ADAT1,A_deamin
Dnig.7LG0001330.1,2,FBpp0081312,CG2767,No description,CAD7455031.1,sp|Q6AZW2|A1A1A_DANRE,Aldo/keto reductase family,-,Aldo_ket_red
Dnig.7LG0001350.1,11,,,,XP_039297026.1,sp|Q5EAD8|LRC51_BOVIN,Leucine-rich repeat,-,LRR_9
Dnig.7LG0001370.1,17,FBpp0082071,DNAlig3,DNA ligase 3,XP_023727310.1,sp|P49916|DNLI3_HUMAN,DNA ligase (ATP) activity. It is involved in the biological process described with DNA recombination,LIG3,"DNA_ligase_A_C,DNA_ligase_A_M,DNA_ligase_A_N,LIG3_BRCT,zf-CCHH,zf-PARP"
Dnig.7LG0001390.1,9,FBpp0086917,SCCRO3,Squamous cell carcinoma-related oncogene 3,XP_023727380.1,sp|Q8K0V2|DCNL3_MOUSE,Neddylation of cullins play an essential role in the regulation of SCF-type complexes activity,DCUN1D3,Cullin_binding
Dnig.7LG0001400.1,17,FBpp0305548,INPP5E,Inositol polyphosphate 5-phosphatase E,GFG32866.1,sp|Q9VTW2|INP5E_DROME,72 kDa inositol polyphosphate,INPP5E,Exo_endo_phos
Dnig.7LG0001430.1,8,FBpp0073585,comt,comatose,XP_023714836.1,sp|P46461|NSF1_DROME,ATP- binding,NSF,"AAA,CDC48_2,CDC48_N"
Dnig.7LG0001450.1,1,FBpp0088443,ptc,patched,XP_021939582.1,sp|P18502|PTC_DROME,Hedgehog receptor activity,PTCH1,Patched
Dnig.7LG0001490.1,7,FBpp0079389,C1GalTA,Core 1 Galactosyltransferase A,KAF4519281.1,sp|Q7SYI5|C1GTB_DANRE,glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity,-,Fringe
Dnig.7LG0001510.1,5,FBpp0309972,CG7556,No description,CAD7194770.1,sp|Q61712|DNJC1_MOUSE,DNA- binding,DNAJC1,"DnaJ,Myb_DNA-binding"
Dnig.7LG0001520.1,8,FBpp0075630,AdenoK,Adenosine Kinase,PNF17444.1,sp|Q9LZG0|ADK2_ARATH,,,
Dnig.7LG0001540.1,15,FBpp0077442,Axud1,AXIN1 up-regulated 1,PSN55442.1,sp|Q8WYN3|CSRN3_HUMAN,Cysteine/serine-rich nuclear protein N-terminus,CSRNP3,CSRNP_N
Dnig.7LG0001570.1,20,FBpp0071969,AIMP3,aaRS-interacting multifunctional protein 3,XP_021914650.1,sp|P70102|MCA3_CRIGR,"ligase activity, forming aminoacyl-tRNA and related compounds. It is involved in the biological process described with tRNA aminoacylation",EEF1E1,"GST_C,GST_C_3"
Dnig.7LG0001660.1,5,,,,,,,,
Dnig.7LG0001750.1,10,FBpp0074842,arx,asterix,XP_021917070.1,sp|Q8SWX0|ASTRX_DROME,U11-48K-like CHHC zinc finger,GTSF1,zf-U11-48K
Dnig.7LG0001760.1,3,,,,,,,,
Dnig.7LG0001820.1,11,FBpp0086937,Cyp301a1,Cyp301a1,AVL92824.1,sp|Q9V6D6|CP301_DROME,Cytochrome P450,-,p450
Dnig.7LG0001840.1,4,FBpp0086937,Cyp301a1,Cyp301a1,KDR20887.1,sp|Q9V6D6|CP301_DROME,Cytochrome P450,-,p450
Dnig.7LG0001910.1,10,FBpp0075673,CG10960,No description,KDR19246.1,sp|A9ZSY3|TRET1_BOMMO,Facilitated trehalose transporter Tret1-like,-,Sugar_tr
Dnig.7LG0002000.1,6,FBpp0071451,Prosalpha3,Proteasome alpha3 subunit,XP_023718905.1,sp|P25789|PSA4_HUMAN,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH",PSMA4,"Proteasome,Proteasome_A_N"
Dnig.7LG0002010.1,6,FBpp0079699,CG6443,No description,XP_023721296.1,sp|Q3T1J8|RTF2_RAT,Rtf2 RING-finger,RTFDC1,Rtf2
Dnig.7LG0002040.1,17,FBpp0073214,CG13708,No description,XP_023723351.1,sp|Q91YK0|LRC49_MOUSE,Leucine rich repeat,LRRC49,"LRR_4,LRR_8,LRR_9"
Dnig.7LG0002080.1,5,FBpp0075007,CG6479,No description,XP_023727920.1,sp|Q8BRG8|TM209_MOUSE,"Cytochrome B561, N terminal",TMEM209,CytochromB561_N
Dnig.7LG0002110.1,17,FBpp0303337,spg,sponge,XP_023721465.2,sp|Q8IZD9|DOCK3_HUMAN,Guanyl-nucleotide exchange factor activity. It is involved in the biological process described with small GTPase mediated signal transduction,DOCK3,"DHR-2,DOCK-C2,DOCK_N,SH3_2"
Dnig.7LG0002140.1,1,FBpp0084871,Vps13B,Vacuolar protein sorting 13B,XP_021942653.1,sp|Q7Z7G8|VP13B_HUMAN,Vacuolar protein sorting-associated protein,VPS13B,"Chorein_N,SHR-BD,VPS13,VPS13_C"
Dnig.7LG0002150.1,19,FBpp0084067,Rpb10,Rpb10,XP_019755676.1,sp|Q9VC49|RPAB5_DROME,"DNA-directed RNA polymerase activity. It is involved in the biological process described with transcription, DNA-templated",POLR2L,RNA_pol_N
Dnig.7LG0002160.1,19,FBpp0077369,CG31694,No description,CAD7445635.1,sp|Q5S1U6|IFRD1_PIG,Interferon-related protein conserved region,IFRD1,"IFRD,IFRD_C"
Dnig.7LG0002170.1,9,,,,XP_023702843.1,sp|Q4KTA7|TERT_TAKRU,,,
Dnig.7LG0002200.1,2,FBpp0075007,CG6479,No description,XP_023727920.1,sp|Q8BRG8|TM209_MOUSE,"Cytochrome B561, N terminal",TMEM209,CytochromB561_N
Dnig.7LG0002220.1,2,FBpp0074906,CG7430,No description,XP_021925138.1,sp|P09623|DLDH_PIG,flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process,DLD,"Pyr_redox_2,Pyr_redox_dim"
Dnig.7LG0002250.1,5,FBpp0071168,Ogg1,8-oxoguanine DNA glycosylase,XP_021940181.1,sp|O08760|OGG1_MOUSE,oxidized purine nucleobase lesion DNA N-glycosylase activity,OGG1,"HhH-GPD,OGG_N"
Dnig.7LG0002260.1,9,FBpp0080256,NC2beta,Negative Cofactor 2beta,XP_021932327.1,sp|Q9VJQ5|NC2B_DROME,Histone-like transcription factor (CBF/NF-Y) and archaeal histone,DR1,CBFD_NFYB_HMF
Dnig.7LG0002290.1,9,,,,XP_042229630.1,sp|Q6ZQK0|CNDD3_MOUSE,,,
Dnig.7LG0002300.1,13,FBpp0086314,wcd,wicked,XP_023720866.1,sp|Q5SSI6|UTP18_MOUSE,U3 small nucleolar RNA-associated protein 18,UTP18,WD40
Dnig.7LG0002320.1,13,FBpp0072767,CG8993,No description,PSN56985.1,sp|Q95108|THIOM_BOVIN,Thioredoxin-like domain,TXN2,Thioredoxin
Dnig.7LG0002350.1,20,FBpp0072389,Dis3l2,Dis3 like 3'-5' exoribonuclease 2,CAD7573823.1,sp|Q8CI75|DI3L2_MOUSE,3'-5'-exoribonuclease that specifically recognizes RNAs polyuridylated at their 3' end and mediates their degradation. Component of an exosome-independent RNA degradation pathway that mediates degradation of cytoplasmic mRNAs that have been deadenylated and subsequently uridylated at their 3',DIS3L2,"RNB,Rrp44_CSD1"
Dnig.7LG0002440.1,17,,,,XP_023710307.1,sp|Q5RE08|FBX22_PONAB,F-box only protein 22,FBXO22,"F-box,F-box-like,FIST,FIST_C"
Dnig.7LG0002450.1,3,FBpp0081444,CG11980,No description,GFG28736.1,sp|Q58DG1|MYG1_BOVIN,Uncharacterised protein family (UPF0160),C12orf10,UPF0160
Dnig.7LG0002460.1,2,FBpp0070831,CG5966,No description,XP_023720473.1,sp|Q64425|LIPP_MYOCO,Lipase,PNLIP,"Lipase,PLAT"
Dnig.7LG0002490.1,10,FBpp0080553,fws,four way stop,XP_033609746.1,sp|Q8C0L8|COG5_MOUSE,It is involved in the biological process described with intra-Golgi vesicle-mediated transport,COG5,COG5
Dnig.7LG0002500.1,14,FBpp0099676,CG7215,No description,KAG8226639.1,sp|P11441|UBL4A_HUMAN,Ubiquitin homologues,-,ubiquitin
Dnig.7LG0002510.1,12,FBpp0083855,udt,undicht,XP_021939983.1,,-,-,-
Dnig.7LG0002520.1,15,FBpp0303852,CG15432,No description,GFG30346.1,sp|Q5R9E5|FA32A_PONAB,apoptotic process,FAM32A,DUF1754
Dnig.7LG0002530.1,13,FBpp0079915,ThrRS,Threonyl-tRNA synthetase,XP_023717216.2,sp|Q3ZBV8|SYTC_BOVIN,ATP binding. It is involved in the biological process described with threonyl-tRNA aminoacylation,TARS,"HGTP_anticodon,TGS,tRNA-synt_2b,tRNA_SAD"
Dnig.7LG0002540.1,16,,,,XP_018344906.1,,-,-,-
